W,Record.W.HomeTeam,Record.L.HomeTeam,HomeTeamNumber,OppTeamNumber,Local,OT,Tm.Score,Opp.Score,1stD.Off,TotYd.Off,PassY.Off,RushY.Off,TO.Off,1stD.Def,TotYd.Def,PassY.Def,RushY.Def,TO.Def,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,Wild Card,Division,Conf. Champ.,Super Bowl,Thu,Sat,Sun,Mon
1,6,3,17,8,1,0,26,3,21,410,194,216,1,21,356,282,74,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,6,4,17,6,1,0,7,41,16,232,110,122,2,25,491,235,256,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,7,4,17,24,0,0,20,17,16,396,297,99,1,19,296,121,175,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,8,4,17,7,0,0,28,22,16,276,224,52,0,29,448,303,145,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,8,5,17,32,0,0,24,38,26,414,280,134,3,22,391,301,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,9,5,17,16,1,0,24,21,23,374,234,140,2,24,432,269,163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,10,5,17,28,1,0,23,20,15,229,161,68,2,19,435,329,106,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,10,6,17,16,0,0,14,35,20,301,192,109,1,25,467,222,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,11,6,17,3,0,0,22,19,19,360,219,141,1,24,425,253,172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,11,7,17,1,1,0,31,51,23,442,348,94,1,29,434,316,118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,1,15,7,1,0,3,33,15,308,276,32,1,24,465,366,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,2,15,2,0,0,26,28,17,261,180,81,1,25,425,274,151,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,3,15,29,1,0,20,24,11,239,160,79,2,26,436,268,168,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,3,15,27,0,0,27,3,20,326,260,66,1,16,175,102,73,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,4,15,6,0,0,23,26,18,269,192,77,2,22,277,139,138,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2,4,15,11,1,0,24,17,18,256,132,124,1,23,348,316,32,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3,4,15,23,0,0,27,14,21,394,236,158,1,16,230,170,60,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
